CISP;ano;pop
48;2004;70152
48;2005;71431
48;2006;72734
48;2007;74060
48;2008;75411
48;2009;76786
48;2010;78186
48;2011;79179
48;2012;80138
48;2013;81260
48;2014;82090
48;2015;82892
48;2016;83667
48;2017;85193
48;2018;86746
48;2019;88328
50;2003;89334
50;2004;91921
50;2005;94582
50;2006;97321
50;2007;100139
50;2008;103038
50;2009;106021
50;2010;109091
50;2011;111171
50;2012;113182
50;2013;115542
50;2014;117374
50;2015;119143
50;2016;120855
50;2017;124354
50;2018;127955
50;2019;131660
51;2003;42365
51;2004;43014
51;2005;43673
51;2006;44342
51;2007;45022
51;2008;45712
51;2009;46413
51;2010;47124
51;2011;47635
51;2012;48129
51;2013;48705
51;2014;49120
51;2015;49521
51;2016;50071
51;2017;50838
51;2018;51618
51;2019;52409
52;2003;173690
52;2004;174389
52;2005;175092
52;2006;175797
52;2007;176506
52;2008;177217
52;2009;177931
52;2010;178647
52;2011;179273
52;2012;179879
52;2013;180567
52;2014;180873
52;2015;181168
52;2016;178912
52;2017;179632
52;2018;180356
52;2019;181083
53;2003;168141
53;2004;168175
53;2005;168208
53;2006;168242
53;2007;168275
53;2008;168309
53;2009;168342
53;2010;168376
53;2011;168966
53;2012;169537
53;2013;170185
53;2014;170473
53;2015;170751
53;2016;171020
53;2017;171054
53;2018;171088
53;2019;171122
54;2003;444650
54;2004;448095
54;2005;451567
54;2006;455065
54;2007;458591
54;2008;462144
54;2009;465724
54;2010;469332
54;2011;472008
54;2012;474596
54;2013;477583
54;2014;479386
54;2015;481127
54;2016;494141
54;2017;497969
54;2018;501827
54;2019;505715
55;2003;213348
55;2004;128146
55;2005;129732
55;2006;131338
55;2007;132963
55;2008;134609
55;2009;136275
55;2010;137962
55;2011;139188
55;2012;140374
55;2013;141753
55;2014;142709
55;2015;143632
55;2016;144525
55;2017;146314
55;2018;148125
55;2019;149958
56;2003;258458
56;2004;259499
56;2005;260545
56;2006;261594
56;2007;262648
56;2008;263706
56;2009;264769
56;2010;265835
56;2011;266767
56;2012;267668
56;2013;268692
56;2014;269147
56;2015;269586
56;2016;266228
56;2017;267301
56;2018;268378
56;2019;269459
57;2003;154817
57;2004;155187
57;2005;155557
57;2006;155929
57;2007;156302
57;2008;156675
57;2009;157050
57;2010;157425
57;2011;157710
57;2012;157986
57;2013;158288
57;2014;158299
57;2015;158309
57;2016;158319
57;2017;158697
57;2018;159077
57;2019;159457
58;2003;342013
58;2004;343390
58;2005;344774
58;2006;346163
58;2007;347557
58;2008;348957
58;2009;350363
58;2010;351775
58;2011;353007
58;2012;354199
58;2013;355555
58;2014;356157
58;2015;356738
58;2016;352295
58;2017;353714
58;2018;355139
58;2019;356570
59;2003;329776
59;2004;333014
59;2005;336283
59;2006;339585
59;2007;342919
59;2008;346286
59;2009;349686
59;2010;353120
59;2011;355643
59;2012;358084
59;2013;360914
59;2014;362765
59;2015;364552
59;2016;366281
59;2017;369878
59;2018;373509
59;2019;377177
60;2003;264932
60;2004;267533
60;2005;270160
60;2006;272812
60;2007;275491
60;2008;278196
60;2009;280927
60;2010;283686
60;2011;285713
60;2012;287673
60;2013;289947
60;2014;291434
60;2015;292869
60;2016;294259
60;2017;297148
60;2018;300066
60;2019;303012
61;2003;56497
61;2004;57051
61;2005;57611
61;2006;58177
61;2007;58748
61;2008;59325
61;2009;59908
61;2010;60496
61;2011;60928
61;2012;61346
61;2013;61831
61;2014;62148
61;2015;62454
61;2016;62751
61;2017;63367
61;2018;63989
61;2019;64617
62;2003;147318
62;2004;148765
62;2005;150225
62;2006;151700
62;2007;153190
62;2008;154694
62;2009;156213
62;2010;157747
62;2011;158874
62;2012;159964
62;2013;161229
62;2014;162055
62;2015;162854
62;2016;163626
62;2017;165233
62;2018;166855
62;2019;168493
63;2004;87964
63;2005;89176
63;2006;90405
63;2007;91651
63;2008;92914
63;2009;94194
63;2010;95492
63;2011;96430
63;2012;97337
63;2013;98393
63;2014;99141
63;2015;99863
63;2016;100562
63;2017;101948
63;2018;103353
63;2019;104777
64;2003;452216
64;2004;453132
64;2005;454051
64;2006;454972
64;2007;455894
64;2008;456819
64;2009;457745
64;2010;458673
64;2011;459379
64;2012;460062
64;2013;460799
64;2014;460711
64;2015;460625
64;2016;460541
64;2017;461475
64;2018;462410
64;2019;463348
65;2003;122702
65;2004;124799
65;2005;126945
65;2006;129139
65;2007;131384
65;2008;133681
65;2009;136032
65;2010;138437
65;2011;87586
65;2012;88196
65;2013;88904
65;2014;89369
65;2015;89818
65;2016;90396
65;2017;91298
65;2018;92209
65;2019;93130
66;2003;130940
66;2004;132247
66;2005;133567
66;2006;134900
66;2007;136247
66;2008;137607
66;2009;138980
66;2010;140368
66;2011;141386
66;2012;142372
66;2013;143515
66;2014;144265
66;2015;144991
66;2016;145923
66;2017;147380
66;2018;148851
66;2019;150336
67;2011;52522
67;2012;53527
67;2013;54706
67;2014;55626
67;2015;56515
67;2016;57105
67;2017;58873
67;2018;60696
67;2019;62575
70;2011;31091
70;2012;31438
70;2013;31844
70;2014;32140
70;2015;32426
70;2016;32703
70;2017;33247
70;2018;33800
70;2019;34363
71;2003;223539
71;2004;226976
71;2005;230466
71;2006;234010
71;2007;237609
71;2008;241263
71;2009;244973
71;2010;248740
71;2011;220352
71;2012;222618
71;2013;225263
71;2014;227168
71;2015;229007
71;2016;230786
71;2017;234294
71;2018;237856
71;2019;241471
72;2003;318398
72;2004;322081
72;2005;325807
72;2006;329575
72;2007;333388
72;2008;337244
72;2009;341145
72;2010;345091
72;2011;347968
72;2012;350752
72;2013;353989
72;2014;356197
72;2015;358330
72;2016;360393
72;2017;364561
72;2018;368778
72;2019;373044
73;2003;154063
73;2004;155845
73;2005;157648
73;2006;159471
73;2007;161316
73;2008;163182
73;2009;165069
73;2010;166979
73;2011;168371
73;2012;169718
73;2013;171284
73;2014;172353
73;2015;173384
73;2016;174383
73;2017;176400
73;2018;178440
73;2019;180504
74;2003;201444
74;2004;203774
74;2005;206131
74;2006;208516
74;2007;210928
74;2008;213367
74;2009;215835
74;2010;218332
74;2011;220153
74;2012;221913
74;2013;223962
74;2014;225359
74;2015;226708
74;2016;228013
74;2017;230651
74;2018;233318
74;2019;236017
75;2003;248495
75;2004;251369
75;2005;254277
75;2006;257218
75;2007;260193
75;2008;263203
75;2009;266247
75;2010;269327
75;2011;271573
75;2012;273745
75;2013;276272
75;2014;277995
75;2015;279659
75;2016;281269
75;2017;284523
75;2018;287814
75;2019;291143
76;2003;73287
76;2004;73724
76;2005;74163
76;2006;74605
76;2007;75049
76;2008;75496
76;2009;75946
76;2010;76398
76;2011;76736
76;2012;77063
76;2013;77438
76;2014;77637
76;2015;77829
76;2016;78015
76;2017;78480
76;2018;78947
76;2019;79418
77;2003;138969
77;2004;139797
77;2005;140629
77;2006;141467
77;2007;142310
77;2008;143157
77;2009;144010
77;2010;144868
77;2011;145509
77;2012;146129
77;2013;146840
77;2014;147217
77;2015;147582
77;2016;147934
77;2017;148815
77;2018;149702
77;2019;150593
78;2003;120803
78;2004;121523
78;2005;122247
78;2006;122975
78;2007;123707
78;2008;124444
78;2009;125185
78;2010;125931
78;2011;126488
78;2012;127027
78;2013;127645
78;2014;127974
78;2015;128290
78;2016;128597
78;2017;129363
78;2018;130133
78;2019;130908
79;2003;69875
79;2004;70291
79;2005;70710
79;2006;71131
79;2007;71555
79;2008;71981
79;2009;72410
79;2010;72841
79;2011;73164
79;2012;73475
79;2013;73833
79;2014;74023
79;2015;74206
79;2016;74383
79;2017;74826
79;2018;75272
79;2019;75720
81;2003;64775
81;2004;65161
81;2005;65549
81;2006;65939
81;2007;66332
81;2008;66727
81;2009;67124
81;2010;67524
81;2011;67823
81;2012;68112
81;2013;68443
81;2014;68619
81;2015;68789
81;2016;68953
81;2017;69364
81;2018;69777
81;2019;70193
82;2003;89355
82;2004;94006
82;2005;98899
82;2006;104047
82;2007;109463
82;2008;115160
82;2009;121155
82;2010;127461
82;2011;131355
82;2012;135121
82;2013;139552
82;2014;143111
82;2015;146549
82;2016;149876
82;2017;157677
82;2018;165885
82;2019;174519
88;2003;90341
88;2004;90962
88;2005;91587
88;2006;92216
88;2007;92850
88;2008;93488
88;2009;94131
88;2010;94778
88;2011;95260
88;2012;95726
88;2013;96261
88;2014;96568
88;2015;96865
88;2016;97152
88;2017;97820
88;2018;98492
88;2019;99169
89;2003;108900
89;2004;110390
89;2005;111901
89;2006;113432
89;2007;114984
89;2008;116557
89;2009;118152
89;2010;119769
89;2011;120938
89;2012;122068
89;2013;123385
89;2014;124316
89;2015;125214
89;2016;126084
89;2017;127809
89;2018;129558
89;2019;131331
90;2003;172841
90;2004;173543
90;2005;174247
90;2006;174955
90;2007;175665
90;2008;176378
90;2009;177094
90;2010;177813
90;2011;178355
90;2012;178880
90;2013;179472
90;2014;179697
90;2015;179915
90;2016;180126
90;2017;180857
90;2018;181591
90;2019;182329
91;2003;67922
91;2004;68469
91;2005;69020
91;2006;69576
91;2007;70136
91;2008;70700
91;2009;71269
91;2010;71843
91;2011;72268
91;2012;72679
91;2013;73154
91;2014;73445
91;2015;73725
91;2016;73997
91;2017;74593
91;2018;75193
91;2019;75798
92;2003;7895
92;2004;7986
92;2005;8079
92;2006;8174
92;2007;8269
92;2008;8365
92;2009;8462
92;2010;8561
92;2011;8633
92;2012;8703
92;2013;8783
92;2014;8838
92;2015;8892
92;2016;8943
92;2017;9047
92;2018;9153
92;2019;9259
93;2003;246681
93;2004;248240
93;2005;249809
93;2006;251388
93;2007;252976
93;2008;254575
93;2009;256184
93;2010;257803
93;2011;259012
93;2012;260180
93;2013;261522
93;2014;262259
93;2015;262970
93;2016;263659
93;2017;265325
93;2018;267002
93;2019;268689
94;2003;43702
94;2004;23709
94;2005;24125
94;2006;24548
94;2007;24978
94;2008;25416
94;2009;25861
94;2010;26314
94;2011;26637
94;2012;26948
94;2013;27311
94;2014;27579
94;2015;27838
94;2016;28088
94;2017;28580
94;2018;29081
94;2019;29591
95;2003;32311
95;2004;32603
95;2005;32897
95;2006;33194
95;2007;33494
95;2008;33797
95;2009;34102
95;2010;34410
95;2011;34638
95;2012;34858
95;2013;35112
95;2014;35275
95;2015;35432
95;2016;35622
95;2017;35944
95;2018;36268
95;2019;36596
96;2003;49473
96;2004;49688
96;2005;49904
96;2006;50122
96;2007;50340
96;2008;50559
96;2009;50780
96;2010;51001
96;2011;51168
96;2012;51329
96;2013;51511
96;2014;51587
96;2015;51660
96;2016;51794
96;2017;52020
96;2018;52248
96;2019;52476
97;2003;17480
97;2004;17545
97;2005;17609
97;2006;17674
97;2007;17739
97;2008;17804
97;2009;17869
97;2010;17935
97;2011;17981
97;2012;18024
97;2013;18072
97;2014;18086
97;2015;18099
97;2016;18111
97;2017;18178
97;2018;18244
97;2019;18311
98;2003;12476
98;2004;12582
98;2005;12689
98;2006;12797
98;2007;12906
98;2008;13015
98;2009;13126
98;2010;13237
98;2011;13324
98;2012;13408
98;2013;13505
98;2014;13566
98;2015;13626
98;2016;13521
98;2017;13636
98;2018;13752
98;2019;13868
99;2003;25889
99;2004;26284
99;2005;26685
99;2006;27092
99;2007;27505
99;2008;27924
99;2009;28350
99;2010;28783
99;2011;29094
99;2012;29394
99;2013;29744
99;2014;29996
99;2015;30240
99;2016;30475
99;2017;30940
99;2018;31412
99;2019;31891
100;2003;24610
100;2004;25237
100;2005;25882
100;2006;26545
100;2007;27226
100;2008;27926
100;2009;28646
100;2010;29385
100;2011;29890
100;2012;30377
100;2013;30946
100;2014;31385
100;2015;31809
100;2016;32218
100;2017;33056
100;2018;33918
100;2019;34804
101;2004;20717
101;2005;21038
101;2006;21364
101;2007;21695
101;2008;22031
101;2009;22372
101;2010;22719
101;2011;22968
101;2012;23208
101;2013;23488
101;2014;23691
101;2015;23887
101;2016;24076
101;2017;24449
101;2018;24828
101;2019;25213
104;2003;19565
104;2004;19661
104;2005;19759
104;2006;19856
104;2007;19954
104;2008;20053
104;2009;20152
104;2010;20251
104;2011;20398
104;2012;20540
104;2013;20704
104;2014;20812
104;2015;20916
104;2016;21017
104;2017;21121
104;2018;21225
104;2019;21330
105;2003;246148
105;2004;246942
105;2005;247738
105;2006;248538
105;2007;249340
105;2008;250144
105;2009;250951
105;2010;251761
105;2011;252312
105;2012;252845
105;2013;253438
105;2014;253547
105;2015;253654
105;2016;253667
105;2017;254486
105;2018;255307
105;2019;256131
106;2003;43172
106;2004;43311
106;2005;43451
106;2006;43591
106;2007;43732
106;2008;43873
106;2009;44014
106;2010;44156
106;2011;44253
106;2012;44347
106;2013;44450
106;2014;44470
106;2015;44488
106;2016;44491
106;2017;44634
106;2018;44778
106;2019;44923
107;2003;38476
107;2004;38838
107;2005;39204
107;2006;39573
107;2007;39945
107;2008;40321
107;2009;40701
107;2010;41084
107;2011;41367
107;2012;41639
107;2013;41955
107;2014;42159
107;2015;42356
107;2016;42737
107;2017;43139
107;2018;43545
107;2019;43955
108;2003;91905
108;2004;92619
108;2005;93339
108;2006;94065
108;2007;94798
108;2008;95537
108;2009;96283
108;2010;97035
108;2011;97591
108;2012;98129
108;2013;98748
108;2014;99122
108;2015;99484
108;2016;99543
108;2017;100324
108;2018;101112
108;2019;101907
109;2003;17267
109;2004;17303
109;2005;17340
109;2006;17377
109;2007;17414
109;2008;17451
109;2009;17488
109;2010;17525
109;2011;17554
109;2012;17581
109;2013;17610
109;2014;17608
109;2015;17606
109;2016;17604
109;2017;17641
109;2018;17679
109;2019;17716
110;2003;145327
110;2004;147825
110;2005;150367
110;2006;152952
110;2007;155582
110;2008;158257
110;2009;160978
110;2010;163746
110;2011;165716
110;2012;167622
110;2013;169849
110;2014;171482
110;2015;173060
110;2016;174587
110;2017;177589
110;2018;180642
110;2019;183748
111;2003;14389
111;2004;14461
111;2005;14533
111;2006;14606
111;2007;14679
111;2008;14752
111;2009;14826
111;2010;14900
111;2011;14956
111;2012;15010
111;2013;15070
111;2014;15099
111;2015;15127
111;2016;15153
111;2017;15229
111;2018;15305
111;2019;15381
112;2003;15903
112;2004;16113
112;2005;16326
112;2006;16542
112;2007;16761
112;2008;16982
112;2009;17207
112;2010;17434
112;2011;17599
112;2012;17758
112;2013;17944
112;2014;18074
112;2015;18200
112;2016;18322
112;2017;18564
112;2018;18809
112;2019;19058
118;2003;90658
118;2004;93439
118;2005;96305
118;2006;99259
118;2007;102303
118;2008;105441
118;2009;108675
118;2010;112008
118;2011;114250
118;2012;116418
118;2013;118964
118;2014;120948
118;2015;122865
118;2016;124940
118;2017;128772
118;2018;132722
118;2019;136793
119;2003;51381
119;2004;51957
119;2005;52539
119;2006;53128
119;2007;53724
119;2008;54326
119;2009;54935
119;2010;55551
119;2011;56001
119;2012;56436
119;2013;56942
119;2014;57284
119;2015;57615
119;2016;57963
119;2017;58613
119;2018;59270
119;2019;59934
120;2003;21290
120;2004;21299
120;2005;21307
120;2006;21315
120;2007;21324
120;2008;21332
120;2009;21341
120;2010;21349
120;2011;21356
120;2012;21362
120;2013;21366
120;2014;21336
120;2015;21307
120;2016;21279
120;2017;21287
120;2018;21296
120;2019;21304
121;2003;25486
121;2004;26705
121;2005;27982
121;2006;29321
121;2007;30723
121;2008;32193
121;2009;33733
121;2010;35347
121;2011;36360
121;2012;37340
121;2013;38492
121;2014;39414
121;2015;40305
121;2016;41167
121;2017;43136
121;2018;45200
121;2019;47362
122;2003;19480
122;2004;19718
122;2005;19960
122;2006;20204
122;2007;20451
122;2008;20701
122;2009;20955
122;2010;21211
122;2011;21416
122;2012;21613
122;2013;21844
122;2014;22006
122;2015;22163
122;2016;22315
122;2017;22588
122;2018;22864
122;2019;23144
123;2003;176634
123;2004;184576
123;2005;192876
123;2006;201549
123;2007;210614
123;2008;189120
123;2009;197728
123;2010;206728
123;2011;212433
123;2012;217951
123;2013;224442
123;2014;229624
123;2015;234628
123;2016;239471
123;2017;250371
123;2018;261767
123;2019;273682
124;2003;58219
124;2004;60276
124;2005;62405
124;2006;64609
124;2007;66892
124;2008;69255
124;2009;71701
124;2010;74234
124;2011;75906
124;2012;77522
124;2013;79421
124;2014;80915
124;2015;82359
124;2016;83750
124;2017;86708
124;2018;89771
124;2019;92943
125;2003;69790
125;2004;72125
125;2005;74539
125;2006;77034
125;2007;79612
125;2008;82276
125;2009;85029
125;2010;87875
125;2011;89739
125;2012;91542
125;2013;93659
125;2014;95318
125;2015;96920
125;2016;98470
125;2017;101765
125;2018;105171
125;2019;108691
126;2003;167288
126;2004;173236
126;2005;179409
126;2006;185813
126;2007;192460
126;2008;199357
126;2009;206514
126;2010;213942
126;2011;190787
126;2012;195197
126;2013;200380
126;2014;204486
126;2015;208451
126;2016;212289
126;2017;220602
126;2018;229241
126;2019;238219
127;2003;20616
127;2004;21489
127;2005;22399
127;2006;23347
127;2007;24336
127;2008;25366
127;2009;26440
127;2010;27560
127;2011;28279
